2026-06-16 14:35:13,340 | INFO | 公司文 → 不寫Excel
2026-06-16 14:35:13,402 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150010010.pdf
2026-06-16 14:35:16,866 | INFO | 公司文 → 不寫Excel
2026-06-16 14:35:16,887 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150010011.pdf
2026-06-16 14:35:20,203 | INFO | 公司文 → 不寫Excel
2026-06-16 14:35:20,225 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150010012.pdf
2026-06-16 14:35:23,175 | INFO | 公司文 → 不寫Excel
2026-06-16 14:35:23,215 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150010019 (2).pdf
2026-06-16 14:35:26,241 | INFO | 公司文 → 不寫Excel
2026-06-16 14:35:26,260 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150422002.pdf
2026-06-16 14:35:29,940 | INFO | 搬檔成功
2026-06-16 14:35:30,191 | INFO | Excel寫入成功
2026-06-16 14:35:30,191 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150427001.pdf
2026-06-16 14:35:33,451 | INFO | 公司文 → 不寫Excel
2026-06-16 14:35:33,470 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150504001.pdf
2026-06-16 14:35:36,572 | INFO | 公司文 → 不寫Excel
2026-06-16 14:35:36,593 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150504002.pdf
2026-06-16 14:35:39,304 | INFO | 公司文 → 不寫Excel
2026-06-16 14:35:39,319 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150513001.pdf
2026-06-16 14:35:42,691 | INFO | 搬檔成功
2026-06-16 14:35:42,930 | INFO | Excel寫入成功
2026-06-16 14:35:42,930 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150526001.pdf
2026-06-16 14:35:47,253 | INFO | 公司文 → 不寫Excel
2026-06-16 14:35:47,305 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150601001.pdf
2026-06-16 14:35:49,859 | INFO | 公司文 → 不寫Excel
2026-06-16 14:35:49,894 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150601002.pdf
2026-06-16 14:35:53,065 | INFO | 搬檔成功
2026-06-16 14:35:53,190 | INFO | Excel寫入成功
2026-06-16 14:35:53,190 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1150605_1.pdf
2026-06-16 14:35:56,428 | INFO | 公司文 → 不寫Excel
2026-06-16 14:35:56,428 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153658427.pdf
2026-06-16 14:35:56,531 | INFO | 搬檔成功
2026-06-16 14:35:56,580 | INFO | Excel寫入成功
2026-06-16 14:35:56,580 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153658428.pdf
2026-06-16 14:35:56,678 | INFO | 搬檔成功
2026-06-16 14:35:56,713 | INFO | Excel寫入成功
2026-06-16 14:35:56,714 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153658724.pdf
2026-06-16 14:35:56,812 | INFO | 搬檔成功
2026-06-16 14:35:56,889 | INFO | Excel寫入成功
2026-06-16 14:35:56,889 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153658731.pdf
2026-06-16 14:35:56,991 | INFO | 搬檔成功
2026-06-16 14:35:57,035 | INFO | Excel寫入成功
2026-06-16 14:35:57,035 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153658732.pdf
2026-06-16 14:35:57,133 | INFO | 搬檔成功
2026-06-16 14:35:57,177 | INFO | Excel寫入成功
2026-06-16 14:35:57,177 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153659184.pdf
2026-06-16 14:35:57,300 | INFO | 搬檔成功
2026-06-16 14:35:57,337 | INFO | Excel寫入成功
2026-06-16 14:35:57,337 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153659284.pdf
2026-06-16 14:36:00,377 | INFO | 公司文 → 不寫Excel
2026-06-16 14:36:00,415 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153659285.pdf
2026-06-16 14:36:03,459 | INFO | 公司文 → 不寫Excel
2026-06-16 14:36:03,495 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153659286.pdf
2026-06-16 14:36:06,467 | INFO | 搬檔成功
2026-06-16 14:36:06,678 | INFO | Excel寫入成功
2026-06-16 14:36:06,678 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153659468.pdf
2026-06-16 14:36:09,688 | INFO | 公司文 → 不寫Excel
2026-06-16 14:36:09,728 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153659472.pdf
2026-06-16 14:36:13,121 | INFO | 公司文 → 不寫Excel
2026-06-16 14:36:13,158 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153659473.pdf
2026-06-16 14:36:16,223 | INFO | 公司文 → 不寫Excel
2026-06-16 14:36:16,262 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153659947.pdf
2026-06-16 14:36:19,403 | INFO | 公司文 → 不寫Excel
2026-06-16 14:36:19,441 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153660099.pdf
2026-06-16 14:36:19,596 | INFO | 搬檔成功
2026-06-16 14:36:19,716 | INFO | Excel寫入成功
2026-06-16 14:36:19,716 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153660422.pdf
2026-06-16 14:36:19,838 | INFO | 搬檔成功
2026-06-16 14:36:19,876 | INFO | Excel寫入成功
2026-06-16 14:36:19,876 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153660423.pdf
2026-06-16 14:36:19,977 | INFO | 搬檔成功
2026-06-16 14:36:20,017 | INFO | Excel寫入成功
2026-06-16 14:36:20,017 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153660575.pdf
2026-06-16 14:36:20,106 | INFO | 搬檔成功
2026-06-16 14:36:20,145 | INFO | Excel寫入成功
2026-06-16 14:36:20,145 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153660577.pdf
2026-06-16 14:36:20,244 | INFO | 搬檔成功
2026-06-16 14:36:20,321 | INFO | Excel寫入成功
2026-06-16 14:36:20,321 | INFO | \U0001f4c4 C:\Users\Administrator\Desktop\SCAN\1153660752.pdf
